Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
0	0	357.4445	353.4764	3.968114	6.107342	0.0160005	-0.04442871	0.01423598	0.9939914	0.9022434	1	0.02134398	43.32035	0.01423547	-7.394151
1	1	359.3198	355.4238	3.896031	8.931437	0.01322051	-0.03890785	0.01452214	0.9853884	0.8817083	1	0.01959542	52.42967	0.01451904	-2.6628
2	0	359.3997	355.6759	3.723797	10.8497	0.0119826	-0.03261877	0.01516627	0.9782955	0.8695213	1	0.01906469	57.84615	0.01515912	-1.50286
3	1	359.3641	355.8204	3.543737	9.475197	0.01283234	-0.03554452	0.01582043	0.9834581	0.8781374	1	0.0201501	54.01564	0.01581611	-2.148756
4	0	356.4936	352.8063	3.687375	6.837281	0.01512025	-0.06992836	0.01516008	0.9920389	0.8965552	1	0.02141141	45.8423	0.01515912	-8.783764
5	1	359.1109	355.9644	3.146558	14.97153	0.01016359	-0.04316563	0.01730884	0.9611788	0.8463285	1	0.01875739	68.19908	0.01728276	-1.11191
6	0	357.5602	353.384	4.17621	9.245768	0.01299201	-0.05941637	0.01343467	0.9842812	0.8796318	1	0.01868386	53.35181	0.01343135	-3.779946
7	1	358.986	355.9739	3.012126	14.56557	0.0103088	-0.02796885	0.01781594	0.9629397	0.8484729	1	0.01916565	67.23838	0.01779147	-0.7546847
8	0	354.9841	352.5736	2.410499	16.21776	0.009750982	-0.1010437	0.01968177	0.9557058	0.839899	1	0.01959166	71.08486	0.01964316	-2.281195
9	1	356.7369	353.3268	3.410046	16.50333	0.009662786	-0.004268673	0.01628896	0.9544393	0.8384561	1	0.01774242	71.73368	0.01625515	-0.09369196
10	0	357.8417	354.3991	3.442601	7.808042	0.01414551	-0.05142668	0.01615424	0.9891285	0.8894331	1	0.02137803	49.00121	0.01615233	-4.730423
11	1	359.531	356.2232	3.307791	11.61416	0.0115754	-0.03960871	0.01669647	0.9752784	0.8649503	1	0.01966054	59.88104	0.01668627	-1.602189
12	0	355.6638	351.6477	4.016087	7.877848	0.01408239	-0.08369556	0.01385421	0.9889069	0.888938	1	0.0197535	49.22084	0.0138525	-7.54486
13	1	359.2877	355.6958	3.591873	11.74665	0.0115088	-0.0268216	0.01565281	0.9747464	0.8641723	1	0.01898131	60.22758	0.01564283	-1.062092
14	0	357.5535	353.4229	4.130579	6.987091	0.01495678	-0.06195215	0.01358058	0.9916118	0.8954253	1	0.02015548	46.34335	0.01357962	-7.385663
15	1	355.7107	352.5669	3.143778	21.39291	0.008424941	-0.02792847	0.0173884	0.9323246	0.815186	1	0.01711702	82.27324	0.01730876	-0.4126826
16	0	358.3191	354.4546	3.86451	6.987091	0.01495678	-0.04944278	0.01460752	0.9916118	0.8954253	1	0.02090366	46.34335	0.01460649	-5.89435
17	1	358.736	354.9121	3.823964	9.620302	0.01273428	-0.02093001	0.01478293	0.9829313	0.8772011	1	0.0194036	54.43161	0.01477862	-1.226224
18	0	358.9204	355.3142	3.606159	8.318567	0.01370221	-0.04975846	0.01556027	0.9874735	0.8858603	1	0.02064995	50.58653	0.01555783	-3.972263
19	1	356.4168	352.0951	4.32168	5.535966	0.01680722	-0.04675571	0.01292648	0.9953572	0.9069342	1	0.02084506	41.24103	0.0129262	-10.07049
20	0	358.9334	355.306	3.627462	9.196497	0.01302706	-0.0621559	0.01543534	0.9844563	0.879955	1	0.02005379	53.20825	0.01543161	-3.998785
21	1	358.9489	355.3768	3.572078	13.15184	0.01086391	-0.02837776	0.01573426	0.9689653	0.8561564	1	0.01848976	63.80272	0.0157191	-0.914388
22	0	359.3426	356.2045	3.138033	13.05391	0.01090555	-0.04276235	0.01732865	0.9693756	0.856702	1	0.01944112	63.55911	0.0173124	-1.396351
23	1	359.4767	356.1328	3.343939	12.14804	0.01131355	-0.05181299	0.01653712	0.9731201	0.86184	1	0.01934392	61.26697	0.01652518	-1.927575
