Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
0	359.3198	355.4238	3.896031	8.931437	0.01322051	-0.03890785	0.01452214	0.9853884	0.8817083	1	0.01959542	52.42967	0.01451904	-2.6628
1	359.3641	355.8204	3.543737	9.475197	0.01283234	-0.03554452	0.01582043	0.9834581	0.8781374	1	0.0201501	54.01564	0.01581611	-2.148756
2	359.1109	355.9644	3.146558	14.97153	0.01016359	-0.04316563	0.01730884	0.9611788	0.8463285	1	0.01875739	68.19908	0.01728276	-1.11191
3	358.986	355.9739	3.012126	14.56557	0.0103088	-0.02796885	0.01781594	0.9629397	0.8484729	1	0.01916565	67.23838	0.01779147	-0.7546847
4	356.7369	353.3268	3.410046	16.50333	0.009662786	-0.004268673	0.01628896	0.9544393	0.8384561	1	0.01774242	71.73368	0.01625515	-0.09369196
5	359.531	356.2232	3.307791	11.61416	0.0115754	-0.03960871	0.01669647	0.9752784	0.8649503	1	0.01966054	59.88104	0.01668627	-1.602189
6	359.2877	355.6958	3.591873	11.74665	0.0115088	-0.0268216	0.01565281	0.9747464	0.8641723	1	0.01898131	60.22758	0.01564283	-1.062092
7	355.7107	352.5669	3.143778	21.39291	0.008424941	-0.02792847	0.0173884	0.9323246	0.815186	1	0.01711702	82.27324	0.01730876	-0.4126826
8	358.736	354.9121	3.823964	9.620302	0.01273428	-0.02093001	0.01478293	0.9829313	0.8772011	1	0.0194036	54.43161	0.01477862	-1.226224
9	356.4168	352.0951	4.32168	5.535966	0.01680722	-0.04675571	0.01292648	0.9953572	0.9069342	1	0.02084506	41.24103	0.0129262	-10.07049
10	358.9489	355.3768	3.572078	13.15184	0.01086391	-0.02837776	0.01573426	0.9689653	0.8561564	1	0.01848976	63.80272	0.0157191	-0.914388
11	359.4767	356.1328	3.343939	12.14804	0.01131355	-0.05181299	0.01653712	0.9731201	0.86184	1	0.01934392	61.26697	0.01652518	-1.927575
12	357.4784	353.2332	4.245194	6.266035	0.01579618	-0.04423919	0.01321872	0.9935858	0.9009794	1	0.02043552	43.88068	0.01321818	-6.897124
13	357.4267	353.0893	4.337377	7.984367	0.01398766	-0.04439563	0.01288573	0.9885659	0.8881867	1	0.01898637	49.5542	0.01288405	-3.882736
14	356.9403	354.3597	2.58063	13.76358	0.0106136	-0.01304263	0.01940342	0.9663801	0.8527886	1	0.02029483	65.30747	0.01938149	-0.3879432
15	359.4584	356.1927	3.265675	12.96387	0.01094424	-0.03485884	0.01686396	0.969752	0.8572053	1	0.01921267	63.33442	0.01684853	-1.152436
16	356.9881	353.5396	3.448442	7.111456	0.01482498	-0.03984146	0.01615646	0.9912509	0.8944962	1	0.02188695	46.75535	0.01615523	-4.553781
17	354.324	350.0238	4.300175	4.575698	0.01848837	-0.03542839	0.01301717	0.9972873	0.9153955	1	0.02193929	37.49099	0.01301708	-13.06013
18	358.1259	354.4239	3.701991	8.932466	0.01321975	-0.01467987	0.01521229	0.9853848	0.8817015	1	0.02005506	52.43271	0.01520904	-1.004423
19	359.2499	355.6257	3.624268	9.37957	0.01289819	-0.05685733	0.01547264	0.9838026	0.8787582	1	0.01997844	53.73987	0.01546858	-3.510283
20	359.1886	355.9114	3.277225	14.33473	0.010394	-0.0334036	0.01683027	0.9639354	0.8497041	1	0.01870475	66.68721	0.01680838	-0.9262154
21	356.3954	353.6472	2.748285	14.78818	0.01022846	0.01199001	0.01863951	0.9619756	0.8472938	1	0.01952709	67.76651	0.01861256	0.3153242
22	353.9291	351.8956	2.033436	19.69063	0.008806189	0.03381213	0.02120672	0.9400892	0.8230112	1	0.01932617	78.71137	0.0211306	0.5643744
23	356.7667	354.3343	2.432472	21.80304	0.008339394	-0.06435714	0.01998948	0.9304485	0.8133385	1	0.01825925	83.11721	0.01989278	-0.9253158
24	357.7037	355.1333	2.570341	18.56687	0.009084281	-0.05941883	0.01945045	0.9451849	0.8283286	1	0.01879858	76.30182	0.01939201	-1.083987
25	359.4352	356.1864	3.248785	12.40788	0.0111921	-0.03357696	0.01692379	0.9720561	0.8603489	1	0.01946345	61.9318	0.01691058	-1.201584
26	358.3623	354.3122	4.050103	8.334223	0.01368926	-0.06030548	0.01389035	0.9874215	0.8857525	1	0.01950121	50.6344	0.01388815	-4.794349
27	358.3162	355.2352	3.081058	15.38763	0.0100205	-0.06760722	0.01745708	0.9593621	0.8441568	1	0.01870448	69.17289	0.01742825	-1.663649
28	357.0414	353.5447	3.496686	16.94435	0.009530779	-0.03321704	0.01603845	0.9524757	0.8362486	1	0.01748479	72.72723	0.01600223	-0.6989479
29	358.4267	354.3142	4.112508	7.359592	0.014572	-0.03691019	0.01372297	0.990514	0.892666	1	0.01999855	47.56706	0.01372173	-3.891021
30	358.3889	354.7072	3.681662	7.502936	0.01443156	-0.03691019	0.01530423	0.9900785	0.8916225	1	0.02101732	48.02995	0.01530272	-3.720213
31	358.8223	354.8296	3.992629	8.13435	0.0138574	-0.03267031	0.01416847	0.9880798	0.8871369	1	0.01981606	50.01999	0.01416645	-2.740745
32	358.6497	355.1107	3.53896	14.24053	0.01042934	-0.03447767	0.01586322	0.9643405	0.850209	1	0.01819027	66.46125	0.01584305	-0.9668578
33	357.1856	353.6152	3.570392	7.586132	0.01435187	-0.02013564	0.01570321	0.9898225	0.8910212	1	0.02123066	48.29665	0.01570158	-1.978444
34	358.0848	353.9696	4.115144	8.606403	0.01346966	-0.06014099	0.01365328	0.9865069	0.8838926	1	0.01917838	51.4599	0.0136508	-4.45716
35	353.1748	348.6175	4.557388	9.185651	0.01303482	-0.06014099	0.01201635	0.9844948	0.8800263	1	0.0176992	53.1766	0.01201346	-3.878758
36	359.1424	355.9783	3.164069	11.38571	0.01169288	-0.04554643	0.01721683	0.9761895	0.8663012	1	0.02006561	59.2794	0.01720707	-1.912875
37	357.1526	354.1184	3.034235	11.38571	0.01169288	-0.08099043	0.01750854	0.9761895	0.8663012	1	0.02023489	59.2794	0.01749861	-3.401464
38	357.2718	354.9258	2.345972	20.72054	0.00857027	-0.02307735	0.02039296	0.9353965	0.8182458	1	0.01869616	80.8781	0.02030785	-0.3572152
39	353.5166	351.6743	1.842291	19.61822	0.008823429	0.02864196	0.02201101	0.9404184	0.8233501	1	0.01970851	78.55757	0.02193288	0.4807184
40	356.1443	353.9087	2.235555	21.60235	0.008380972	0.006671957	0.02070378	0.9313667	0.8142408	1	0.01862889	82.70487	0.02060625	0.09721166
41	356.4009	353.8652	2.535707	16.6941	0.009605073	0.01030755	0.0194718	0.953591	0.8374982	1	0.01934053	72.1647	0.01942986	0.2221021
42	358.994	356.0137	2.980224	15.21426	0.01007943	-0.03576597	0.01794005	0.9601204	0.8450584	1	0.01901713	68.76846	0.01791152	-0.8968496
43	358.9319	355.7201	3.21184	15.21426	0.01007943	-0.02956963	0.01707833	0.9601204	0.8450584	1	0.01855478	68.76846	0.01705117	-0.7414732
44	359.6317	355.9277	3.703984	9.906096	0.01254736	-0.04300092	0.01522451	0.9818804	0.8753764	1	0.01954622	55.24248	0.01521952	-2.373175
45	359.3884	355.5856	3.802861	9.48268	0.01282723	-0.0519737	0.01483636	0.983431	0.8780889	1	0.01950946	54.03716	0.01483229	-3.136812
46	359.6262	356.0079	3.618232	10.11499	0.01241568	-0.03729434	0.01554818	0.9811015	0.8740583	1	0.01964898	55.82835	0.01554262	-1.973403
47	358.7161	355.3748	3.341287	11.20262	0.01178956	-0.06860609	0.01646105	0.9769141	0.8673931	1	0.01970119	58.79329	0.01645227	-2.971774
48	356.7793	352.8176	3.961748	9.749679	0.01264866	-0.005338346	0.01422806	0.9824578	0.8763719	1	0.01897187	54.80005	0.01422368	-0.3043138
49	357.4999	354.9897	2.510175	16.98839	0.009517865	-0.06437226	0.01963731	0.9522791	0.8360295	1	0.01933418	72.82591	0.01959259	-1.348932
50	356.9795	353.4703	3.509149	16.22384	0.009749081	-0.01465463	0.01596134	0.9556789	0.8398682	1	0.01764134	71.09872	0.01592999	-0.3306465
51	359.0238	355.8281	3.195658	14.91457	0.01018362	-0.02907951	0.01713602	0.9614266	0.8466278	1	0.0186819	68.06492	0.01711052	-0.7538756
52	359.5299	356.2461	3.283838	12.60757	0.01110125	-0.03934483	0.01679078	0.9712327	0.8592126	1	0.01930796	62.43865	0.01677688	-1.367691
53	358.3218	354.853	3.468764	10.76625	0.01202959	-0.07451272	0.01594928	0.9786191	0.8700292	1	0.01958894	57.62016	0.01594198	-3.485021
54	358.9827	355.7011	3.281659	14.88493	0.01019408	-0.03139514	0.01681771	0.9615555	0.8467838	1	0.01851708	67.99504	0.01679285	-0.8166345
55	353.5583	349.7411	3.817162	10.86333	0.01197497	0.02007748	0.01459312	0.9782426	0.8694385	1	0.01869504	57.88298	0.01458621	0.9227872
56	357.0172	353.1163	3.900903	13.58537	0.01068483	-0.03963969	0.01452526	0.9671369	0.8537626	1	0.01761817	64.87207	0.01450958	-1.206208
57	358.882	355.0367	3.845329	8.015853	0.01396001	-0.05534361	0.014662	0.9884644	0.8879655	1	0.02023273	49.65233	0.01466005	-4.797638
58	359.5094	356.0881	3.421324	11.83512	0.01146494	-0.03067953	0.01628324	0.9743899	0.8636552	1	0.01932286	60.45798	0.01627256	-1.197946
59	357.6049	354.5398	3.065115	9.577556	0.01276294	-0.03529766	0.01759052	0.983087	0.8774762	1	0.02118994	54.30938	0.01758549	-2.087013
60	359.2501	355.9277	3.322383	10.84939	0.01198278	-0.0303388	0.01664339	0.9782968	0.8695232	1	0.01997168	57.84529	0.01663555	-1.397893
61	359.1021	355.5845	3.517624	13.47766	0.01072855	-0.03598719	0.01593632	0.967593	0.8543541	1	0.01849181	64.60775	0.01591958	-1.110474
62	357.9915	355.1096	2.881878	14.51687	0.01032662	-0.007665491	0.01825276	0.9631501	0.848732	1	0.01941593	67.1224	0.01822797	-0.2080193
63	358.094	354.839	3.255086	16.56899	0.009642815	-0.02078902	0.01691796	0.9541475	0.8381259	1	0.01806304	71.88224	0.01688239	-0.4533891
64	359.515	355.7641	3.750871	9.147749	0.01306202	-0.04495882	0.01504522	0.984629	0.8802757	1	0.01982528	53.06586	0.01504167	-2.924915
65	358.4182	355.2834	3.134767	14.16728	0.01045706	-0.07023649	0.01723208	0.964655	0.8506027	1	0.01898404	66.2851	0.01721056	-1.98717
66	357.9272	354.1683	3.758844	8.284643	0.0137304	-0.07097243	0.0148976	0.9875859	0.8860944	1	0.02022622	50.48265	0.0148953	-5.717088
67	358.5628	354.7725	3.790268	8.841084	0.01328841	-0.06618058	0.01481449	0.9857021	0.8823116	1	0.01984243	52.16179	0.01481146	-4.628678
68	359.1907	355.624	3.566734	10.43024	0.01222437	-0.02342919	0.01573493	0.9799098	0.8720933	1	0.01961376	56.70206	0.01572858	-1.166197
69	357.725	354.4813	3.243779	12.35083	0.01121845	-0.08191216	0.0167288	0.9722904	0.860675	1	0.01937375	61.78636	0.01671595	-2.956095
70	359.1839	355.5921	3.591793	12.62971	0.01109131	-0.04918418	0.01563491	0.9711411	0.8590871	1	0.01862319	62.49462	0.01562189	-1.704299
71	356.9409	352.7116	4.229291	6.117458	0.01598724	-0.03117783	0.01328927	0.9939658	0.9021623	1	0.02061352	43.35628	0.01328878	-5.166897
72	357.7404	355.0925	2.647892	20.08624	0.008713559	-0.02947061	0.01923843	0.9382887	0.821169	1	0.01831039	79.54811	0.01916516	-0.4775565
73	359.4831	355.9175	3.565605	11.17834	0.01180255	-0.02965149	0.01574841	0.9770098	0.8675385	1	0.01928064	58.72857	0.01574009	-1.289743
74	357.7185	354.8899	2.828635	12.61453	0.01109813	-0.06745214	0.0183823	0.9712039	0.8591732	1	0.02019946	62.45624	0.01836705	-2.342406
75	357.3532	354.8717	2.481497	20.03591	0.008725202	-0.01294608	0.01983975	0.938518	0.8214026	1	0.01860676	79.44196	0.01976476	-0.2105669
76	356.4444	354.425	2.019449	20.69615	0.008575665	-0.03654174	0.0216637	0.9355078	0.8183575	1	0.01927593	80.82722	0.0215736	-0.5666071
77	356.37	354.3094	2.060617	24.28362	0.007865848	-0.03437879	0.02155882	0.9190819	0.802441	1	0.01841621	88.1211	0.02141766	-0.4248592
78	357.6078	354.9534	2.654367	18.22314	0.009174136	-0.007717764	0.01914212	0.946737	0.8299814	1	0.018741	75.55449	0.01908782	-0.144899
79	354.0261	349.7428	4.283331	12.17021	0.01130305	-0.0255936	0.01311281	0.9730297	0.8617122	1	0.01721712	61.32393	0.01310327	-0.9489544
80	358.0035	354.9686	3.03493	11.48908	0.0116393	-0.06917545	0.01759423	0.9757782	0.8656884	1	0.02023782	59.55229	0.01758391	-2.85592
81	355.4928	351.0707	4.422119	5.158684	0.01741164	-0.04699469	0.01255122	0.9961728	0.9101642	1	0.02090633	39.80942	0.01255104	-12.27922
82	358.2765	354.1693	4.107224	7.586372	0.01435164	-0.05639764	0.01369482	0.9898217	0.8910195	1	0.01982641	48.29741	0.0136934	-5.540994
83	358.7919	354.7667	4.025243	9.52755	0.01279671	-0.04927811	0.01402933	0.9832686	0.8777988	1	0.01894884	54.16606	0.0140254	-2.945244
84	359.0711	355.4204	3.650778	12.52258	0.01113966	-0.03263482	0.01544262	0.9715837	0.8596952	1	0.01854862	62.22335	0.01543015	-1.148455
85	356.9898	353.7109	3.278908	12.99354	0.01093145	0.008110071	0.0166778	0.9696281	0.8570393	1	0.01909516	63.40851	0.01666241	0.2670258
86	357.3815	353.9952	3.386241	10.5822	0.01213516	-0.001573946	0.01632735	0.9793286	0.871156	1	0.01990653	57.1189	0.01632037	-0.07614128
87	357.6549	354.8806	2.774314	14.83583	0.01021149	-0.07456122	0.01855309	0.9617688	0.8470424	1	0.01946559	67.87915	0.01852597	-1.950269
88	358.8201	355.4305	3.389547	9.066774	0.0131207	-0.04421557	0.01637477	0.9849146	0.8808101	1	0.02072913	52.82854	0.01637104	-2.931024
89	358.9664	355.7743	3.19209	12.31688	0.01123421	-0.02104988	0.01712327	0.9724297	0.8608694	1	0.0196146	61.69969	0.01711025	-0.7634973
90	356.5562	352.8344	3.721799	12.31688	0.01123421	0.002464012	0.01507961	0.9724297	0.8608694	1	0.01840693	61.69969	0.01506815	0.08937183
91	358.1871	354.8254	3.361701	10.14495	0.01239713	-0.07257753	0.01635449	0.9809891	0.8738703	1	0.02013696	55.91192	0.01634858	-3.817675
