Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
0	0	551.7875	546.8193	4.968237	9.525435	0.01279814	-0.04165619	0.01074638	0.9832763	0.8778125	1	0.01658516	54.15999	0.06330499	0.01074337	-6.212871
1	1	556.5494	551.9971	4.552303	8.038859	0.01393992	-0.04739236	0.01208991	0.9883901	0.8878042	1	0.01835932	49.72391	-0.1882796	0.01208828	11.94677
2	0	554.3553	552.1041	2.251166	9.935034	0.01252887	-0.04165619	0.01421717	0.9817731	0.875193	1	0.0188746	55.32398	-0.7366689	0.01421245	37.39439
3	1	556.3733	552.2851	4.08817	7.944993	0.01402246	-0.04066402	0.0128939	0.9886924	0.8884638	1	0.019016	49.43123	0.2833271	0.01289226	-28.3691
4	0	556.4306	552.2138	4.216734	12.33263	0.01122689	-0.03650716	0.01373217	0.9723651	0.8607792	1	0.01755959	61.73992	-0.07138609	0.01372169	1.190746
5	1	556.8789	552.6881	4.190722	10.01936	0.01247546	-0.04220002	0.01339003	0.9814592	0.8746601	1	0.01827823	55.56085	-0.2074468	0.01338542	8.705148
6	0	556.0552	551.4762	4.579041	10.49015	0.01218898	-0.0271747	0.0123388	0.9796811	0.871723	1	0.01734344	56.86673	0.03613529	0.01233371	-3.079689
7	1	555.4611	551.3666	4.094483	7.108832	0.01482773	-0.04163816	0.01295836	0.9912586	0.8945158	1	0.01960321	46.74669	-0.3264442	0.01295737	32.25477
8	0	555.578	551.486	4.092025	9.746852	0.01265051	-0.05929536	0.01382747	0.9824681	0.87639	1	0.01870426	54.79203	-0.176801	0.01382322	6.525609
9	1	556.5451	552.5577	3.987481	9.197411	0.01302641	-0.03214384	0.01348656	0.9844531	0.879949	1	0.01874468	53.21092	0.2593981	0.0134833	-18.49297
10	0	555.9717	552.4892	3.482549	11.02726	0.01188435	-0.03797633	0.01418656	0.9776031	0.8684466	1	0.0183629	58.32439	-0.4384654	0.01417945	17.44295
11	1	554.478	550.5118	3.966174	11.78144	0.0114915	0.001932147	0.01378824	0.9746064	0.8639688	1	0.01780154	60.31827	0.2209168	0.01377934	-8.402682
12	0	555.178	552.419	2.759003	8.166278	0.01383013	-0.0379855	0.0122279	0.9879754	0.8869147	1	0.01839095	50.11862	0.6864495	0.01222613	-59.5597
13	1	554.8714	552.1063	2.765143	12.18432	0.01129637	-0.03440396	0.01349084	0.9729721	0.8616309	1	0.01745838	61.36017	0.6189773	0.01348099	-23.55532
14	0	555.0035	550.9557	4.047747	7.20204	0.01473113	-0.02147864	0.01152049	0.9909844	0.8938246	1	0.01842335	47.05324	0.4276212	0.01151956	-49.38628
15	1	551.9944	548.7782	3.216172	9.952705	0.01251763	-0.07034471	0.01505138	0.9817074	0.8750811	1	0.01941173	55.37369	-0.436195	0.01504635	19.56371
16	0	556.4765	552.2608	4.215771	7.819088	0.01413547	-0.03109713	0.01215308	0.9890936	0.8893546	1	0.01853589	49.03602	0.3134323	0.01215164	-31.27612
17	1	555.362	551.1803	4.181668	12.92523	0.01096097	-0.04413355	0.01332047	0.9699133	0.8574218	1	0.01708831	63.23778	0.1743986	0.01330841	-7.089017
18	0	555.3443	551.3403	4.004079	7.634112	0.0143065	-0.03482922	0.01139071	0.9896738	0.890676	1	0.01805332	48.44981	0.4502489	0.0113895	-46.52527
19	1	551.2136	548.307	2.906581	18.76508	0.009033531	0.0166312	0.01666549	0.9442885	0.8273813	1	0.01735213	76.73048	0.343817	0.01661377	-5.529037
20	0	556.345	552.3724	3.972641	7.935702	0.0140307	-0.03548603	0.01281609	0.9887221	0.8885293	1	0.01896411	49.40217	-0.3938279	0.01281446	31.3801
21	1	553.7618	551.85	1.911746	12.45591	0.01117006	-0.01515709	0.01436722	0.9718585	0.8600748	1	0.0179155	62.05404	0.7387232	0.01435584	-26.05015
22	0	555.357	550.5713	4.785632	6.159592	0.01593236	-0.02805001	0.01132784	0.9938591	0.9018255	1	0.0189989	43.50562	0.1072622	0.01132741	-21.9272
23	1	554.3868	550.7293	3.657451	14.53001	0.0103218	-0.01835821	0.01396331	0.9630933	0.848662	1	0.01697802	67.15371	0.3458759	0.01394429	-9.523185
24	0	555.5554	551.7381	3.817312	11.09789	0.0118459	-0.05853995	0.01391309	0.9773262	0.8680213	1	0.01815562	58.51365	-0.3306755	0.01390594	11.6715
25	1	557.0369	552.6005	4.436414	8.800922	0.01331892	-0.03544801	0.01248787	0.9858408	0.8825808	1	0.01823869	52.0423	0.1500309	0.01248537	-12.94952
26	0	555.4426	551.236	4.206602	10.67633	0.01208084	-0.06473695	0.01363135	0.9789665	0.8705786	1	0.01814818	57.37574	-0.08451729	0.01362532	0.8559043
27	1	553.9641	551.3727	2.591438	10.35303	0.01227043	-0.04760335	0.01232034	0.9802034	0.8725719	1	0.01738827	56.48921	-0.7669779	0.01231551	35.57127
28	0	556.0511	552.6357	3.415393	10.67633	0.01208084	-0.0386274	0.01386157	0.9789665	0.8705786	1	0.01830079	57.37574	-0.4867509	0.01385544	20.81851
29	1	556.9279	552.6317	4.296213	10.96299	0.01191964	-0.03579615	0.01344736	0.9778543	0.8688347	1	0.01790462	58.15168	-0.001853152	0.01344076	-1.534568
30	0	556.2101	551.9574	4.252705	8.906606	0.01323907	-0.02227316	0.01361433	0.9854748	0.8818738	1	0.01898636	52.35618	-0.03141814	0.01361145	0.5981754
31	1	555.8909	551.3653	4.525594	10.67823	0.01207975	-0.01755966	0.01258561	0.9789592	0.870567	1	0.01743737	57.38093	-0.009618088	0.01258004	-0.3870546
32	0	555.4896	551.7748	3.71477	13.65181	0.01065812	-0.04389358	0.01436477	0.9668551	0.8533988	1	0.01749865	65.03467	-0.3311267	0.01434899	8.334863
33	1	553.6152	550.1856	3.429607	17.3836	0.009404078	-0.01499674	0.01661201	0.9505114	0.8340741	1	0.01767601	73.70708	-0.1188561	0.01657133	1.979796
34	0	554.5037	551.4869	3.016796	9.181454	0.01303782	-0.0265861	0.01424679	0.9845097	0.8800539	1	0.01927418	53.16435	-0.5679992	0.01424337	34.38367
35	1	553.4601	548.9649	4.49526	13.20975	0.0108395	-0.02159659	0.01257789	0.9687222	0.8558346	1	0.0165129	63.94641	0.07474885	0.01256558	-3.005564
36	0	553.7857	550.4711	3.314569	14.92847	0.01017872	-0.04327917	0.01394792	0.9613662	0.8465547	1	0.01685063	68.09769	0.4558196	0.0139271	-12.46288
37	1	557.1325	552.6413	4.491247	9.491588	0.01282116	-0.03444619	0.01270907	0.9833988	0.8780313	1	0.01805242	54.06277	-0.05303177	0.01270556	1.066502
38	0	556.9188	552.4214	4.497358	7.968687	0.01400148	-0.04059319	0.01256269	0.9886163	0.888297	1	0.01875613	49.50526	0.06417884	0.01256106	-9.139523
39	1	556.3993	552.4265	3.972837	9.809391	0.01260971	-0.02822236	0.01384202	0.982238	0.875991	1	0.01868389	54.96934	0.218653	0.01383765	-13.6804
40	0	556.9756	552.4031	4.572464	9.084411	0.01310785	-0.03483681	0.012326	0.9848526	0.8806935	1	0.01797595	52.88031	-0.1043371	0.01232317	4.483914
41	1	556.2613	551.4447	4.816578	7.666855	0.01427578	-0.03801936	0.01144819	0.9895719	0.8904409	1	0.01807937	48.55407	0.002921651	0.01144694	-3.92311
