Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
0	556.5494	551.9971	4.552303	8.038859	0.01393992	-0.04739236	0.01208991	0.9883901	0.8878042	1	0.01835932	49.72391	-0.1882796	0.01208828	11.94677
1	556.3733	552.2851	4.08817	7.944993	0.01402246	-0.04066402	0.0128939	0.9886924	0.8884638	1	0.019016	49.43123	0.2833271	0.01289226	-28.3691
2	556.8789	552.6881	4.190722	10.01936	0.01247546	-0.04220002	0.01339003	0.9814592	0.8746601	1	0.01827823	55.56085	-0.2074468	0.01338542	8.705148
3	555.4611	551.3666	4.094483	7.108832	0.01482773	-0.04163816	0.01295836	0.9912586	0.8945158	1	0.01960321	46.74669	-0.3264442	0.01295737	32.25477
4	556.5451	552.5577	3.987481	9.197411	0.01302641	-0.03214384	0.01348656	0.9844531	0.879949	1	0.01874468	53.21092	0.2593981	0.0134833	-18.49297
5	554.478	550.5118	3.966174	11.78144	0.0114915	0.001932147	0.01378824	0.9746064	0.8639688	1	0.01780154	60.31827	0.2209168	0.01377934	-8.402682
6	554.8714	552.1063	2.765143	12.18432	0.01129637	-0.03440396	0.01349084	0.9729721	0.8616309	1	0.01745838	61.36017	0.6189773	0.01348099	-23.55532
7	551.9944	548.7782	3.216172	9.952705	0.01251763	-0.07034471	0.01505138	0.9817074	0.8750811	1	0.01941173	55.37369	-0.436195	0.01504635	19.56371
8	555.362	551.1803	4.181668	12.92523	0.01096097	-0.04413355	0.01332047	0.9699133	0.8574218	1	0.01708831	63.23778	0.1743986	0.01330841	-7.089017
9	551.2136	548.307	2.906581	18.76508	0.009033531	0.0166312	0.01666549	0.9442885	0.8273813	1	0.01735213	76.73048	0.343817	0.01661377	-5.529037
10	553.7618	551.85	1.911746	12.45591	0.01117006	-0.01515709	0.01436722	0.9718585	0.8600748	1	0.0179155	62.05404	0.7387232	0.01435584	-26.05015
11	554.3868	550.7293	3.657451	14.53001	0.0103218	-0.01835821	0.01396331	0.9630933	0.848662	1	0.01697802	67.15371	0.3458759	0.01394429	-9.523185
12	557.0369	552.6005	4.436414	8.800922	0.01331892	-0.03544801	0.01248787	0.9858408	0.8825808	1	0.01823869	52.0423	0.1500309	0.01248537	-12.94952
13	553.9641	551.3727	2.591438	10.35303	0.01227043	-0.04760335	0.01232034	0.9802034	0.8725719	1	0.01738827	56.48921	-0.7669779	0.01231551	35.57127
14	556.9279	552.6317	4.296213	10.96299	0.01191964	-0.03579615	0.01344736	0.9778543	0.8688347	1	0.01790462	58.15168	-0.001853152	0.01344076	-1.534568
15	555.8909	551.3653	4.525594	10.67823	0.01207975	-0.01755966	0.01258561	0.9789592	0.870567	1	0.01743737	57.38093	-0.009618088	0.01258004	-0.3870546
16	553.6152	550.1856	3.429607	17.3836	0.009404078	-0.01499674	0.01661201	0.9505114	0.8340741	1	0.01767601	73.70708	-0.1188561	0.01657133	1.979796
17	553.4601	548.9649	4.49526	13.20975	0.0108395	-0.02159659	0.01257789	0.9687222	0.8558346	1	0.0165129	63.94641	0.07474885	0.01256558	-3.005564
18	557.1325	552.6413	4.491247	9.491588	0.01282116	-0.03444619	0.01270907	0.9833988	0.8780313	1	0.01805242	54.06277	-0.05303177	0.01270556	1.066502
19	556.3993	552.4265	3.972837	9.809391	0.01260971	-0.02822236	0.01384202	0.982238	0.875991	1	0.01868389	54.96934	0.218653	0.01383765	-13.6804
20	556.2613	551.4447	4.816578	7.666855	0.01427578	-0.03801936	0.01144819	0.9895719	0.8904409	1	0.01807937	48.55407	0.002921651	0.01144694	-3.92311
21	555.6167	551.5466	4.070093	9.154188	0.01305738	-0.01891749	0.01216201	0.9846062	0.8802333	1	0.01782156	53.08469	0.3669762	0.01215912	-24.70121
22	553.4087	548.798	4.610781	5.084199	0.01753883	-0.04149443	0.01164182	0.9963253	0.9108156	1	0.02020811	39.52072	-0.232319	0.01164166	51.6971
23	554.3964	550.9769	3.419468	6.78392	0.01517978	-0.03883335	0.01120434	0.992189	0.8969606	1	0.0184434	45.66253	-0.6599891	0.01120366	78.86272
24	555.1749	551.3119	3.863077	9.855693	0.01257974	-0.06097032	0.01391493	0.982067	0.8756963	1	0.01871076	55.10027	-0.3065506	0.01391045	13.38779
25	557.0785	552.5157	4.562857	8.175492	0.01382229	-0.03602931	0.01239804	0.9879452	0.8868506	1	0.0185132	50.14705	0.02755995	0.01239624	-5.247473
26	554.1349	550.1379	3.996956	10.00233	0.0124862	-0.003874762	0.01451437	0.9815227	0.8747676	1	0.01903834	55.51307	-0.06056951	0.01450941	3.007778
27	556.9453	552.483	4.462299	8.280771	0.01373363	-0.04238285	0.01254461	0.9875987	0.8861211	1	0.0185625	50.47078	0.1107891	0.01254268	-12.24051
