Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
0	0	586.9251	581.1322	5.792954	6.184378	0.01590034	0.002373485	0.004732836	0.9937959	0.9016278	1	0.01226815	43.59324	0.004732654	0.3825661
1	1	587.0202	581.1945	5.82573	8.478392	0.01357164	0.002378342	0.00516418	0.9869396	0.8847638	1	0.01183946	51.07322	0.005163299	0.1821038
2	0	587.7009	581.8705	5.830414	8.928152	0.01322297	-0.01007645	0.004937478	0.9853998	0.8817302	1	0.01142699	52.41995	0.004936425	-0.6901583
3	1	587.269	581.4392	5.829728	9.726822	0.01266366	0.0005949828	0.005174511	0.9825417	0.876518	1	0.01144799	54.73513	0.005172934	0.0340802
4	0	586.8185	581.1585	5.659991	5.092903	0.01752382	-0.01007645	0.003990399	0.9963076	0.9107392	1	0.01182599	39.55457	0.003990345	-2.728998
5	1	587.5648	581.7321	5.832653	8.181224	0.01381742	-0.006430132	0.005046993	0.9879265	0.8868108	1	0.01180986	50.16472	0.005046258	-0.5325803
6	0	586.1846	580.4885	5.696123	4.392643	0.01886984	-0.00538288	0.004144172	0.9975987	0.9171057	1	0.01250599	36.73306	0.004144148	-2.241653
7	1	587.5322	581.7043	5.82791	8.17497	0.01382274	-0.002706615	0.005046991	0.9879469	0.8868543	1	0.01181213	50.14544	0.005046258	-0.2245585
8	0	585.1627	579.3181	5.844641	6.892202	0.01505971	-0.01044773	0.005359874	0.9918833	0.8961396	1	0.01270576	46.0266	0.005359521	-1.287194
9	1	586.763	580.9304	5.832564	8.52433	0.01353478	-5.955146e-05	0.005288813	0.9867849	0.8844504	1	0.01196519	51.2123	0.00528789	-0.004506304
10	0	586.7059	580.8785	5.827435	11.4461	0.0116615	-0.006437096	0.004931941	0.9759495	0.8659429	1	0.01072509	59.43895	0.004929088	-0.2676486
11	1	584.1651	578.4145	5.75054	4.323609	0.01901995	0.003679794	0.004465638	0.9977112	0.9177599	1	0.01303351	36.44316	0.004465615	1.60774
12	0	587.7029	581.8719	5.831064	8.487594	0.01356423	-0.01014898	0.004950221	0.9869087	0.8847009	1	0.01158844	51.10111	0.004949373	-0.7752451
13	1	586.6852	581.0549	5.630292	5.688169	0.01658054	-0.002727771	0.00392062	0.9950083	0.9056622	1	0.01140228	41.80486	0.003920522	-0.546456
14	0	587.9017	582.1105	5.791189	8.087474	0.01389773	0.0001553288	0.004671841	0.9882324	0.887464	1	0.01139544	49.87486	0.004671195	0.01319973
