Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
0	587.0202	581.1945	5.82573	8.478392	0.01357164	0.002378342	0.00516418	0.9869396	0.8847638	1	0.01183946	51.07322	0.005163299	0.1821038
1	587.269	581.4392	5.829728	9.726822	0.01266366	0.0005949828	0.005174511	0.9825417	0.876518	1	0.01144799	54.73513	0.005172934	0.0340802
2	587.5648	581.7321	5.832653	8.181224	0.01381742	-0.006430132	0.005046993	0.9879265	0.8868108	1	0.01180986	50.16472	0.005046258	-0.5325803
3	587.5322	581.7043	5.82791	8.17497	0.01382274	-0.002706615	0.005046991	0.9879469	0.8868543	1	0.01181213	50.14544	0.005046258	-0.2245585
4	586.763	580.9304	5.832564	8.52433	0.01353478	-5.955146e-05	0.005288813	0.9867849	0.8844504	1	0.01196519	51.2123	0.00528789	-0.004506304
5	584.1651	578.4145	5.75054	4.323609	0.01901995	0.003679794	0.004465638	0.9977112	0.9177599	1	0.01303351	36.44316	0.004465615	1.60774
6	586.6852	581.0549	5.630292	5.688169	0.01658054	-0.002727771	0.00392062	0.9950083	0.9056622	1	0.01140228	41.80486	0.003920522	-0.546456
7	584.7985	579.0319	5.76657	4.222544	0.01924631	-0.01432344	0.004430943	0.997871	0.9187271	1	0.01305981	36.01455	0.004430923	-6.727643
8	585.955	580.2674	5.687546	4.355947	0.01894919	-0.003011714	0.004123059	0.9976588	0.9174528	1	0.01250029	36.57924	0.004123036	-1.286421
9	587.5981	581.7684	5.829633	8.681718	0.0134107	-0.003097439	0.005062358	0.9862502	0.883383	1	0.01165245	51.68613	0.005061401	-0.2252713
10	587.2676	581.4314	5.836231	10.21673	0.012353	-0.01141838	0.004992206	0.980719	0.873421	1	0.01110574	56.11167	0.004990351	-0.5922085
11	586.8677	581.0717	5.79602	8.54805	0.01351586	0.009082137	0.004859897	0.9867047	0.884289	1	0.01146174	51.28398	0.004859038	0.6831091
12	587.2693	581.5265	5.742817	7.938	0.01402866	-0.0104808	0.004300253	0.9887148	0.8885131	1	0.01098424	49.40936	0.004299705	-0.9287198
13	586.7172	580.9235	5.793714	6.179436	0.01590671	-0.01849112	0.004559004	0.9938085	0.9016672	1	0.01204315	43.57578	0.00455883	-2.986535
14	586.5753	580.7295	5.845812	11.28117	0.0117478	-0.01535501	0.005097045	0.9766039	0.8669236	1	0.01094341	59.00228	0.005094255	-0.6563059
15	586.4684	580.635	5.833406	11.97767	0.01139526	0.001145087	0.005463126	0.9738131	0.8628256	1	0.01115829	60.82767	0.00545938	0.04372741
16	587.5315	581.7165	5.81506	7.007536	0.01493487	-0.002616156	0.004875297	0.9915529	0.895272	1	0.01206747	46.41132	0.004874949	-0.3097104
17	587.9843	582.2018	5.782511	6.663623	0.01531657	-0.003029365	0.004582803	0.9925231	0.8978803	1	0.01184844	45.25474	0.004582547	-0.4051645
18	583.9576	578.1937	5.76394	4.389236	0.01887717	0.004057984	0.004552908	0.9976043	0.9171379	1	0.01311076	36.71881	0.004552882	1.693873
19	586.0027	580.3472	5.655499	4.3112	0.01904732	-0.008152088	0.003987306	0.9977311	0.917878	1	0.01232457	36.3908	0.003987286	-3.593022
20	587.3328	581.5329	5.799817	5.915415	0.01625846	-0.008152088	0.004672963	0.9944669	0.9037939	1	0.01232681	42.63303	0.00467282	-1.473343
21	588.0275	582.2324	5.795098	7.643303	0.01429786	-0.001678828	0.004685247	0.9896452	0.8906099	1	0.01157489	48.4791	0.004684745	-0.1621311
22	588.0406	582.2779	5.762754	7.354818	0.01457675	-0.006555858	0.004427295	0.9905284	0.892701	1	0.01136095	47.55157	0.004426897	-0.6921589
23	583.8723	578.09	5.782248	16.31224	0.009721556	-0.00436385	0.006436114	0.9552872	0.8394204	1	0.01118651	71.30002	0.006423247	-0.09759731
24	588.1192	582.3209	5.798221	7.589903	0.01434829	-0.006902085	0.004656578	0.9898108	0.8909941	1	0.01155975	48.3087	0.004656094	-0.6773942
