Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
0	0	667.6336	661.7752	5.85837	0.4445404	0.05931876	-0.02706218	0.005264374	1	0.9736304	1	0.02499104	11.68513	-0.04472788	0.005264374	3033141
1	1	669.4771	663.6266	5.85051	0.4639322	0.0580658	-0.01783336	0.005457342	1	0.9730614	1	0.02517479	11.93727	-0.08315212	0.005457342	7513820
2	0	668.3759	662.7167	5.659253	0.5109715	0.05532855	-0.02256788	0.004975028	1	0.9717287	1	0.02346321	12.52784	-0.2543116	0.004975028	1.111324e+07
3	1	666.1627	660.7841	5.37866	0.9131005	0.04138933	-0.02341592	0.00613709	0.9999982	0.9622074	1	0.0225393	16.747	-0.3883323	0.00613709	203212.7
4	0	667.5779	661.6992	5.878697	0.9179042	0.04128088	-0.01965284	0.005379625	0.9999981	0.9621081	1	0.0210749	16.791	-0.03190888	0.005379625	6592.531
5	1	668.9294	663.2683	5.661144	0.4665545	0.05790239	-0.02177089	0.005748787	1	0.9729854	1	0.02580188	11.97096	-0.2599488	0.005748787	2.600395e+07
6	0	669.2862	663.7662	5.52003	0.6565995	0.04880872	-0.01437562	0.005627607	0.9999998	0.9679522	1	0.02343827	14.2013	-0.3359939	0.005627607	1919000
7	1	667.4445	661.6033	5.841228	0.3577842	0.06612065	-0.02051621	0.005131735	1	0.9763431	1	0.02605048	10.48307	0.01001668	0.005131735	-4.610868e+07
8	0	669.9336	664.1059	5.827623	0.5096747	0.0553989	-0.01824548	0.005425111	1	0.9717646	1	0.02451715	12.51193	-0.1278568	0.005425111	5375931
9	1	667.4792	661.614	5.865157	0.5589977	0.05289842	-0.02827672	0.005367112	1	0.9704299	1	0.02382905	13.10336	0.00190142	0.005367112	-665530.8
10	0	668.3826	662.5254	5.857237	0.6895587	0.04762797	-0.02496144	0.005853826	0.9999998	0.9671577	1	0.0236138	14.55336	-0.07501685	0.005853826	204772.2
11	1	668.7833	663.3876	5.395734	0.467465	0.05784597	-0.02329125	0.005558634	1	0.972959	1	0.0253592	11.98264	-0.3851652	0.005558634	3.880283e+07
12	0	667.5489	662.0435	5.505382	0.4724344	0.05754094	-0.01304978	0.005251838	1	0.9728157	1	0.02458437	12.04616	0.2829118	0.005251838	-2.878696e+07
13	1	669.4883	663.9772	5.511047	0.6987545	0.04731353	-0.01722607	0.005723237	0.9999997	0.9669395	1	0.02327172	14.65008	0.2858592	0.005723237	-1121332
14	0	670.0813	664.2961	5.785156	0.5887287	0.05154542	-0.02075949	0.005499656	0.9999999	0.9696537	1	0.02381101	13.44731	-0.1792253	0.005499656	2267698
15	1	664.0654	658.4989	5.56645	0.5838653	0.05175965	-0.02999671	0.006309436	0.9999999	0.9697793	1	0.02555677	13.39165	0.2417315	0.006309436	-4164129
16	0	669.3486	663.6554	5.693153	0.6002391	0.0510488	-0.01517488	0.005775832	0.9999999	0.9693585	1	0.02428371	13.57813	-0.2423827	0.005775832	2774155
17	1	669.7866	663.9798	5.80672	0.5838653	0.05175965	-0.01708321	0.005233048	0.9999999	0.9697793	1	0.02327491	13.39165	-0.15213	0.005233048	2069540
18	0	668.2124	662.8608	5.351605	0.5751769	0.05214912	-0.02597866	0.005451186	0.9999999	0.970005	1	0.02384427	13.29164	0.349628	0.005451186	-6519128
19	1	668.581	662.8158	5.765284	0.4133692	0.06151465	-0.01819366	0.005561684	1	0.9745717	1	0.02615817	11.268	-0.1867768	0.005561684	5.840031e+07
20	0	669.1746	664.2098	4.964797	0.5786672	0.05199161	-0.02029548	0.005311838	0.9999999	0.9699142	1	0.02350196	13.33191	0.4700204	0.005311838	-8092192
21	1	664.5393	659.1314	5.407897	1.147089	0.03692744	-0.01619746	0.006358177	0.9999925	0.957641	1	0.02166985	18.77052	0.3161788	0.006358177	-44460.67
22	0	667.8761	662.3078	5.568284	0.7332245	0.046188	-0.01592327	0.00621166	0.9999996	0.9661338	1	0.0239543	15.00708	-0.3008147	0.00621166	735530.1
23	1	668.9747	663.5911	5.383621	0.5122322	0.05526043	-0.02188987	0.00575861	1	0.9716938	1	0.02522789	12.54328	-0.3889315	0.00575861	1.722228e+07
24	0	666.1471	661.9191	4.22807	0.4111953	0.06167705	-0.01952856	0.005926928	1	0.9746387	1	0.02703906	11.23833	-0.6931518	0.005926928	2.457888e+08
25	1	668.6053	663.1151	5.490266	0.4256142	0.0606233	-0.01991872	0.005210847	1	0.9741979	1	0.02513558	11.43368	-0.3433702	0.005210847	8.426951e+07
26	0	669.7798	664.1579	5.621954	0.5878121	0.05158559	-0.01890488	0.0057212	0.9999999	0.9696774	1	0.02429533	13.43684	-0.2853368	0.0057212	3862003
27	1	669.8131	663.9563	5.856784	0.6531089	0.04893897	-0.02166364	0.005433761	0.9999998	0.9680375	1	0.02306177	14.1635	0.03793489	0.005433761	-370725.5
28	0	668.4584	662.6027	5.855769	0.4345016	0.0600001	-0.01554223	0.005505472	1	0.9739299	1	0.02570326	11.55243	-0.0564866	0.005505472	8740610
29	1	669.9814	664.1686	5.812787	0.5861154	0.0516602	-0.02167383	0.005496297	0.9999999	0.9697212	1	0.02383022	13.41743	-0.1520223	0.005496297	1935038
30	0	668.0586	663.0811	4.977494	0.8036391	0.04411813	-0.02059518	0.005483283	0.9999992	0.9645449	1	0.02199601	15.71116	0.4692515	0.005483283	-652584.9
31	1	668.5053	662.9151	5.590236	0.4423488	0.05946552	-0.01906374	0.005075903	1	0.9736955	1	0.02456995	11.65629	-0.2936261	0.005075903	4.940568e+07
32	0	669.3944	663.5383	5.856096	0.4627478	0.05814006	-0.01857903	0.005234094	1	0.9730958	1	0.02467025	11.92202	-0.04997118	0.005234094	3697887
33	1	669.1571	663.303	5.854116	0.7966836	0.0443103	-0.0176797	0.005840536	0.9999993	0.9646987	1	0.02275065	15.64302	-0.08784807	0.005840536	99402.18
34	0	667.9849	662.4663	5.518567	0.488638	0.05657884	-0.01967483	0.00605585	1	0.9723534	1	0.02617758	12.251	0.2715248	0.00605585	-2.082531e+07
35	1	666.3658	660.5522	5.813644	0.327697	0.0690894	-0.01779866	0.005371204	1	0.9773596	1	0.0272431	10.03261	-0.1271741	0.005371204	4.266422e+08
36	0	668.6475	663.932	4.715477	0.5518713	0.05323886	-0.01947431	0.005775853	1	0.970619	1	0.02479919	13.01957	-0.587651	0.005775853	1.397077e+07
37	1	666.9327	661.3894	5.543311	0.6184162	0.05029296	-0.02465624	0.006232816	0.9999999	0.968898	1	0.02503864	13.78219	-0.3115616	0.006232816	2751184
38	0	670.0731	664.3454	5.727698	0.5927794	0.051369	-0.01910526	0.005597423	0.9999999	0.9695495	1	0.02398058	13.49349	0.1690832	0.005597423	-2545374
39	1	668.5876	664.008	4.579655	0.5748051	0.05216598	-0.01764832	0.005751416	0.9999999	0.9700147	1	0.02449605	13.28734	-0.6202018	0.005751416	1.051459e+07
40	0	667.5846	661.7283	5.856247	0.9702444	0.04015199	-0.0174814	0.005578135	0.9999973	0.9610428	1	0.02116475	17.26308	-0.1063275	0.005578135	33313.92
41	1	667.957	663.0123	4.944685	0.5058504	0.05560792	-0.02294561	0.005058904	1	0.9718707	1	0.02371983	12.4649	0.4717601	0.005058904	-2.593948e+07
42	0	668.485	662.6318	5.853173	0.735017	0.04613165	-0.01358176	0.006030784	0.9999996	0.9660925	1	0.02358856	15.02542	-0.02035516	0.006030784	17175.29
43	1	667.027	663.4179	3.609149	0.8010536	0.04418927	-0.01644874	0.005568615	0.9999993	0.964602	1	0.02218437	15.68587	-0.8150689	0.005568615	1088411
44	0	669.6939	664.0714	5.622445	0.594209	0.05130717	-0.02197125	0.005406309	0.9999999	0.9695128	1	0.02355345	13.50975	-0.2874895	0.005406309	3521027
45	1	667.6724	662.6284	5.044088	0.5696671	0.0524007	-0.01234941	0.005773202	0.9999999	0.970149	1	0.02459756	13.22782	0.4454041	0.005773202	-8610207
46	0	668.4727	663.3752	5.097519	0.7869373	0.04458385	-0.01518169	0.005716807	0.9999994	0.9649153	1	0.02257775	15.54705	0.4330595	0.005716807	-693012.4
47	1	667.6835	663.2903	4.393265	0.6869894	0.04771695	-0.0173147	0.006012015	0.9999998	0.967219	1	0.02395308	14.52623	0.6056674	0.006012015	-2622093
48	0	668.4442	663.4267	5.017445	0.7183209	0.04666469	-0.01344451	0.005576933	0.9999997	0.9664798	1	0.02281429	14.85378	0.4562694	0.005576933	-1412308
49	1	668.5629	663.3466	5.216306	0.5625515	0.05273106	-0.01730351	0.005945146	1	0.9703361	1	0.02503972	13.14495	-0.4451248	0.005945146	8943465
50	0	667.2454	662.1398	5.105635	0.414326	0.06144359	-0.02411092	0.00576936	1	0.9745423	1	0.02662668	11.28103	0.4259735	0.00576936	-1.524155e+08
51	1	669.0453	663.616	5.429251	0.6306386	0.04980321	-0.02035395	0.005147304	0.9999999	0.9685922	1	0.02264298	13.91772	0.3176893	0.005147304	-2771820
52	0	668.5965	663.7506	4.845907	0.7216579	0.04655668	-0.02080141	0.005655048	0.9999997	0.966402	1	0.02294691	14.88824	-0.5575671	0.005655048	1559143
53	1	669.888	664.1263	5.761653	0.6030096	0.05093139	-0.01653199	0.005345427	0.9999999	0.9692879	1	0.02333453	13.60943	0.1429418	0.005345427	-1875418
54	0	669.5297	664.1827	5.347031	0.6212117	0.05017968	-0.01747052	0.00569113	0.9999999	0.9688278	1	0.02389891	13.81331	0.3502178	0.00569113	-3400429
55	1	667.9878	662.5746	5.413153	0.7890484	0.04452417	-0.01308112	0.005960137	0.9999993	0.9648683	1	0.0230378	15.56788	0.3222852	0.005960137	-508702.1
56	0	667.7523	662.7514	5.000932	0.5200797	0.05484193	-0.02612469	0.005560323	1	0.9714778	1	0.0246957	12.639	0.459885	0.005560323	-1.99491e+07
57	1	669.1802	663.9836	5.196591	0.7084019	0.04699026	-0.0182921	0.005422109	0.9999997	0.966712	1	0.02257371	14.75087	-0.4576956	0.005422109	1466072
58	0	667.4096	661.5379	5.871689	0.6933941	0.04749606	-0.02765449	0.005527516	0.9999997	0.9670665	1	0.02291442	14.59378	6.567219e-06	0.005527516	-108486.9
59	1	670.2105	664.3424	5.868044	0.5910278	0.05144506	-0.01932295	0.005595499	0.9999999	0.9695945	1	0.0239942	13.47354	-0.03577317	0.005595499	227976.2
