Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
0	667.6336	661.7752	5.85837	0.4445404	0.05931876	-0.02706218	0.005264374	1	0.9736304	1	0.02499104	11.68513	-0.04472788	0.005264374	3033141
1	668.3759	662.7167	5.659253	0.5109715	0.05532855	-0.02256788	0.004975028	1	0.9717287	1	0.02346321	12.52784	-0.2543116	0.004975028	1.111324e+07
2	667.5779	661.6992	5.878697	0.9179042	0.04128088	-0.01965284	0.005379625	0.9999981	0.9621081	1	0.0210749	16.791	-0.03190888	0.005379625	6592.531
3	669.2862	663.7662	5.52003	0.6565995	0.04880872	-0.01437562	0.005627607	0.9999998	0.9679522	1	0.02343827	14.2013	-0.3359939	0.005627607	1919000
4	669.9336	664.1059	5.827623	0.5096747	0.0553989	-0.01824548	0.005425111	1	0.9717646	1	0.02451715	12.51193	-0.1278568	0.005425111	5375931
5	668.3826	662.5254	5.857237	0.6895587	0.04762797	-0.02496144	0.005853826	0.9999998	0.9671577	1	0.0236138	14.55336	-0.07501685	0.005853826	204772.2
6	667.5489	662.0435	5.505382	0.4724344	0.05754094	-0.01304978	0.005251838	1	0.9728157	1	0.02458437	12.04616	0.2829118	0.005251838	-2.878696e+07
7	670.0813	664.2961	5.785156	0.5887287	0.05154542	-0.02075949	0.005499656	0.9999999	0.9696537	1	0.02381101	13.44731	-0.1792253	0.005499656	2267698
8	669.3486	663.6554	5.693153	0.6002391	0.0510488	-0.01517488	0.005775832	0.9999999	0.9693585	1	0.02428371	13.57813	-0.2423827	0.005775832	2774155
9	668.2124	662.8608	5.351605	0.5751769	0.05214912	-0.02597866	0.005451186	0.9999999	0.970005	1	0.02384427	13.29164	0.349628	0.005451186	-6519128
10	669.1746	664.2098	4.964797	0.5786672	0.05199161	-0.02029548	0.005311838	0.9999999	0.9699142	1	0.02350196	13.33191	0.4700204	0.005311838	-8092192
11	667.8761	662.3078	5.568284	0.7332245	0.046188	-0.01592327	0.00621166	0.9999996	0.9661338	1	0.0239543	15.00708	-0.3008147	0.00621166	735530.1
12	666.1471	661.9191	4.22807	0.4111953	0.06167705	-0.01952856	0.005926928	1	0.9746387	1	0.02703906	11.23833	-0.6931518	0.005926928	2.457888e+08
13	669.7798	664.1579	5.621954	0.5878121	0.05158559	-0.01890488	0.0057212	0.9999999	0.9696774	1	0.02429533	13.43684	-0.2853368	0.0057212	3862003
14	668.4584	662.6027	5.855769	0.4345016	0.0600001	-0.01554223	0.005505472	1	0.9739299	1	0.02570326	11.55243	-0.0564866	0.005505472	8740610
15	668.0586	663.0811	4.977494	0.8036391	0.04411813	-0.02059518	0.005483283	0.9999992	0.9645449	1	0.02199601	15.71116	0.4692515	0.005483283	-652584.9
16	669.3944	663.5383	5.856096	0.4627478	0.05814006	-0.01857903	0.005234094	1	0.9730958	1	0.02467025	11.92202	-0.04997118	0.005234094	3697887
17	667.9849	662.4663	5.518567	0.488638	0.05657884	-0.01967483	0.00605585	1	0.9723534	1	0.02617758	12.251	0.2715248	0.00605585	-2.082531e+07
18	668.6475	663.932	4.715477	0.5518713	0.05323886	-0.01947431	0.005775853	1	0.970619	1	0.02479919	13.01957	-0.587651	0.005775853	1.397077e+07
19	670.0731	664.3454	5.727698	0.5927794	0.051369	-0.01910526	0.005597423	0.9999999	0.9695495	1	0.02398058	13.49349	0.1690832	0.005597423	-2545374
20	667.5846	661.7283	5.856247	0.9702444	0.04015199	-0.0174814	0.005578135	0.9999973	0.9610428	1	0.02116475	17.26308	-0.1063275	0.005578135	33313.92
21	668.485	662.6318	5.853173	0.735017	0.04613165	-0.01358176	0.006030784	0.9999996	0.9660925	1	0.02358856	15.02542	-0.02035516	0.006030784	17175.29
22	669.6939	664.0714	5.622445	0.594209	0.05130717	-0.02197125	0.005406309	0.9999999	0.9695128	1	0.02355345	13.50975	-0.2874895	0.005406309	3521027
23	668.4727	663.3752	5.097519	0.7869373	0.04458385	-0.01518169	0.005716807	0.9999994	0.9649153	1	0.02257775	15.54705	0.4330595	0.005716807	-693012.4
24	668.4442	663.4267	5.017445	0.7183209	0.04666469	-0.01344451	0.005576933	0.9999997	0.9664798	1	0.02281429	14.85378	0.4562694	0.005576933	-1412308
25	667.2454	662.1398	5.105635	0.414326	0.06144359	-0.02411092	0.00576936	1	0.9745423	1	0.02662668	11.28103	0.4259735	0.00576936	-1.524155e+08
26	668.5965	663.7506	4.845907	0.7216579	0.04655668	-0.02080141	0.005655048	0.9999997	0.966402	1	0.02294691	14.88824	-0.5575671	0.005655048	1559143
27	669.5297	664.1827	5.347031	0.6212117	0.05017968	-0.01747052	0.00569113	0.9999999	0.9688278	1	0.02389891	13.81331	0.3502178	0.00569113	-3400429
28	667.7523	662.7514	5.000932	0.5200797	0.05484193	-0.02612469	0.005560323	1	0.9714778	1	0.0246957	12.639	0.459885	0.005560323	-1.99491e+07
29	667.4096	661.5379	5.871689	0.6933941	0.04749606	-0.02765449	0.005527516	0.9999997	0.9670665	1	0.02291442	14.59378	6.567219e-06	0.005527516	-108486.9
30	665.8119	660.0575	5.754404	0.3217342	0.06972669	-0.02628258	0.005304543	1	0.9775665	1	0.0271981	9.940916	-0.1891721	0.005304543	7.789466e+08
31	668.7014	662.8733	5.828066	0.6858266	0.04775738	-0.01254587	0.005863963	0.9999998	0.9672467	1	0.02366633	14.51393	0.06668467	0.005863963	-337814.4
32	667.4283	661.6033	5.825016	0.8456841	0.04300744	-0.02427974	0.005472799	0.9999989	0.9636293	1	0.02169659	16.11691	0.094251	0.005472799	-110718.1
33	667.0443	662.4554	4.588924	0.7871901	0.04457669	-0.01296177	0.005290327	0.9999994	0.9649097	1	0.02171752	15.54954	0.5653688	0.005290327	-892095.8
34	668.2453	663.5923	4.652972	0.5549816	0.05308947	-0.02369601	0.005642669	1	0.9705363	1	0.02447719	13.05621	-0.6039267	0.005642669	1.360187e+07
35	666.9144	661.4813	5.433048	0.5859045	0.0516695	-0.02365702	0.006262318	0.9999999	0.9697266	1	0.02543898	13.41502	0.3044662	0.006262318	-4885525
36	669.4515	663.9564	5.495117	0.6374302	0.04953719	-0.01500014	0.005552421	0.9999999	0.9684235	1	0.02345427	13.99246	0.2927889	0.005552421	-2318010
37	669.2513	663.6963	5.555069	0.6230466	0.05010573	-0.0187714	0.005134903	0.9999999	0.9687818	1	0.02268427	13.83369	0.2627485	0.005134903	-2542716
38	668.9203	663.2853	5.634965	0.5928438	0.05136621	-0.01303515	0.005418637	0.9999999	0.9695479	1	0.02359385	13.49422	-0.2787041	0.005418637	3590147
39	669.9005	664.0829	5.817551	0.5144276	0.05514239	-0.01774472	0.005418637	1	0.9716332	1	0.02444572	12.57013	-0.1407338	0.005418637	5557187
40	666.4936	661.7401	4.753453	0.930211	0.0410069	-0.02064984	0.005525658	0.999998	0.9618549	1	0.02128803	16.90318	0.5283837	0.005525658	-270561.9
41	668.3993	662.5506	5.848694	0.4244487	0.06070648	-0.0247066	0.005279536	1	0.9742332	1	0.02531806	11.41801	0.0244206	0.005279536	-1.314409e+07
42	669.078	663.2422	5.835816	0.7025061	0.04718703	-0.01353824	0.005818539	0.9999997	0.9668508	1	0.02343329	14.68936	0.0597838	0.005818539	-260520.8
43	666.0953	660.9178	5.177528	1.053962	0.03852433	-0.01725485	0.005903569	0.9999955	0.9593968	1	0.0213275	17.99245	-0.4628281	0.005903569	99300.22
