Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
0	0	429.4506	425.4077	4.042867	26.10854	0.00755823	-0.01685269	0.01409807	0.9107209	0.7946949	1	0.01459838	91.70761	0.01398569	-0.1887642
1	1	428.1932	425.5414	2.651813	40.58864	0.00584749	-0.00191121	0.0195475	0.8457453	0.7388638	1	0.01511978	118.5375	0.01908238	-0.01238996
2	0	426.4647	422.46	4.004691	18.13995	0.009196246	0.01342124	0.01400291	0.9471121	0.8303834	1	0.01604832	75.37284	0.01396375	0.2537674
3	1	427.7788	425.2065	2.572284	55.09489	0.00479738	0.00836798	0.02026727	0.7842171	0.6891266	1	0.01394488	144.4845	0.01932358	0.03877962
4	0	426.2985	421.6159	4.68262	12.72982	0.01104666	-0.04938481	0.01160157	0.9707263	0.858521	1	0.01600991	62.7472	0.01159162	-1.687003
5	1	429.5546	426.0919	3.462754	34.33639	0.006465908	-0.01320635	0.01637065	0.8734132	0.7619599	1	0.01454999	107.2003	0.01610832	-0.1043265
6	0	429.3669	425.2226	4.144336	22.22507	0.008253677	-0.04589894	0.01368352	0.9285164	0.8114515	1	0.01502926	83.98041	0.0136136	-0.6420908
7	1	428.0163	425.2443	2.771976	45.82939	0.005418693	-0.06996746	0.0191854	0.8230849	0.7203656	1	0.01441942	127.9178	0.01858491	-0.395486
8	0	427.9427	423.6838	4.258872	27.45842	0.00734908	-0.04589894	0.01331651	0.9045482	0.7890948	1	0.01399029	94.31754	0.01319518	-0.4808597
9	1	428.617	424.8308	3.786182	35.29789	0.006361453	-0.01831626	0.01519532	0.8691153	0.7583233	1	0.01390427	108.9605	0.01493501	-0.139942
10	0	429.7081	426.0167	3.691362	28.30287	0.007225257	-0.0412125	0.01544069	0.9006944	0.7856429	1	0.0149374	95.93391	0.01528842	-0.4150068
11	1	428.1013	424.374	3.727254	20.32974	0.00865781	-0.0292516	0.01521807	0.9371792	0.8200425	1	0.016233	80.06034	0.01515801	-0.4656353
12	0	427.5012	423.6721	3.829043	37.87732	0.006098997	-0.01590757	0.01507821	0.8576611	0.748726	1	0.01356185	113.6494	0.01477272	-0.1117584
13	1	429.5551	425.7951	3.759972	28.61207	0.007181171	-0.00761201	0.01514709	0.8992851	0.7843883	1	0.0147495	96.52286	0.01499345	-0.07557975
14	0	429.4917	425.7954	3.696255	31.2702	0.006827073	-0.04573225	0.01545978	0.8872152	0.7737956	1	0.01452894	101.5292	0.01526313	-0.4054823
15	1	429.4205	425.449	3.971519	21.60246	0.008380949	-0.03082508	0.0143314	0.9313662	0.8142403	1	0.01549908	82.7051	0.01426389	-0.4491239
