Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
0	429.4506	425.4077	4.042867	26.10854	0.00755823	-0.01685269	0.01409807	0.9107209	0.7946949	1	0.01459838	91.70761	0.01398569	-0.1887642
1	426.4647	422.46	4.004691	18.13995	0.009196246	0.01342124	0.01400291	0.9471121	0.8303834	1	0.01604832	75.37284	0.01396375	0.2537674
2	426.2985	421.6159	4.68262	12.72982	0.01104666	-0.04938481	0.01160157	0.9707263	0.858521	1	0.01600991	62.7472	0.01159162	-1.687003
3	429.3669	425.2226	4.144336	22.22507	0.008253677	-0.04589894	0.01368352	0.9285164	0.8114515	1	0.01502926	83.98041	0.0136136	-0.6420908
4	427.9427	423.6838	4.258872	27.45842	0.00734908	-0.04589894	0.01331651	0.9045482	0.7890948	1	0.01399029	94.31754	0.01319518	-0.4808597
5	429.7081	426.0167	3.691362	28.30287	0.007225257	-0.0412125	0.01544069	0.9006944	0.7856429	1	0.0149374	95.93391	0.01528842	-0.4150068
6	427.5012	423.6721	3.829043	37.87732	0.006098997	-0.01590757	0.01507821	0.8576611	0.748726	1	0.01356185	113.6494	0.01477272	-0.1117584
7	429.4917	425.7954	3.696255	31.2702	0.006827073	-0.04573225	0.01545978	0.8872152	0.7737956	1	0.01452894	101.5292	0.01526313	-0.4054823
8	429.6019	426.2165	3.385377	34.60048	0.006436832	-0.0193356	0.01668235	0.8722312	0.7609576	1	0.01465479	107.6845	0.01641002	-0.1513327
9	428.6559	425.809	2.846959	47.55607	0.005291213	-0.009636352	0.01903189	0.8157268	0.7144141	1	0.01419167	130.9997	0.01838563	-0.05229384
10	429.5751	425.962	3.613083	29.34825	0.007078766	-0.04687486	0.01573513	0.8959337	0.7814208	1	0.0149255	97.91921	0.01556473	-0.4504329
11	428.7843	425.3963	3.387954	28.2915	0.007226891	0.0005098806	0.01648332	0.9007462	0.7856891	1	0.01543523	95.91222	0.01632094	0.005137142
12	428.1199	424.5624	3.557519	28.09022	0.00725596	0.02412295	0.0156702	0.9016642	0.7865086	1	0.01507994	95.52798	0.01551867	0.245312
13	429.0917	425.9348	3.156864	33.68925	0.006538439	-0.0421508	0.01752797	0.8763143	0.7644267	1	0.01513972	106.0111	0.01725982	-0.3407897
14	428.9118	425.7174	3.194407	31.89763	0.006749392	-0.004225159	0.01729346	0.8843796	0.7713423	1	0.01527877	102.6977	0.01706228	-0.03654338
15	428.7424	424.6832	4.059224	20.24248	0.00867768	-0.007087728	0.01394255	0.9375769	0.8204456	1	0.01555564	79.87701	0.01388823	-0.1135434
16	428.3048	425.1749	3.129884	29.42775	0.007067916	-0.02605071	0.0175552	0.8955722	0.781102	1	0.01575301	98.06952	0.01736376	-0.2494615
17	428.1978	423.6376	4.560229	17.64588	0.009330577	-0.02352207	0.01211018	0.9493349	0.8327868	1	0.01503296	74.28771	0.01207909	-0.464266
18	428.8987	425.5298	3.368942	29.29668	0.007085825	0.001243965	0.01656603	0.8961683	0.7816278	1	0.01532214	97.82166	0.01638743	0.01198059
19	428.8245	425.8806	2.943899	39.07028	0.0059855	-0.04870722	0.01844131	0.8524023	0.7443598	1	0.01485802	115.8044	0.01803956	-0.3299998
20	428.3053	425.2833	3.022011	39.34931	0.005959612	0.02502216	0.0178878	0.8511759	0.7433447	1	0.01460167	116.3074	0.01749161	0.1681324
21	428.787	425.7507	3.036268	43.20437	0.005624966	0.003131874	0.01811058	0.8343735	0.7295448	1	0.01427385	123.2269	0.01761377	0.01890926
22	429.6479	425.9913	3.65669	28.76759	0.007159241	-0.0114844	0.01554715	0.8985766	0.7837592	1	0.01492017	96.81852	0.01538722	-0.1132323
23	427.5807	424.3456	3.235092	31.02895	0.006857503	0.03254506	0.01683032	0.8883069	0.7747435	1	0.01519302	101.0787	0.01662036	0.2913794
24	427.5503	423.4097	4.140633	27.527	0.007338832	0.01187261	0.01360757	0.9042349	0.788813	1	0.01413249	94.44925	0.01348278	0.1239764
25	424.9515	419.992	4.959489	15.9411	0.009838567	-0.03314247	0.01057598	0.9569287	0.8413073	1	0.01442584	70.45205	0.01055636	-0.7694785
26	427.108	424.4672	2.640862	35.27491	0.006363905	-0.001378837	0.01945166	0.8692178	0.7584098	1	0.01573458	108.9185	0.01911896	-0.010543
27	428.3252	425.2537	3.071591	37.6019	0.006125874	0.02482893	0.01766043	0.8588787	0.7497403	1	0.01470956	113.1507	0.01730871	0.1759403
28	428.2717	425.4116	2.860152	41.70962	0.005749887	0.02229171	0.01859299	0.8408569	0.7348478	1	0.01462242	120.5497	0.01812209	0.1400733
29	428.379	424.3713	4.007698	18.82028	0.009019529	-0.0513096	0.01414162	0.9440386	0.8271182	1	0.0159719	76.8496	0.01409733	-0.9168741
30	428.7112	424.9019	3.809363	25.71334	0.007622286	0.01098332	0.0148176	0.9125304	0.7963546	1	0.01502957	90.93692	0.01470423	0.1255672
31	427.6561	424.0408	3.615298	23.41065	0.008024527	0.0138223	0.01548471	0.9230839	0.8062245	1	0.01576436	86.37857	0.0153931	0.1797062
32	428.1639	423.9185	4.245427	16.20022	0.009756469	-0.03484297	0.01327762	0.9557834	0.8399879	1	0.01609613	71.04488	0.01325166	-0.7880065
33	428.4105	424.9909	3.419615	30.65759	0.006904975	-0.07536868	0.01633312	0.889989	0.7762077	1	0.01501864	100.3837	0.01613545	-0.6851013
34	427.7746	425.2263	2.548316	40.53327	0.005852403	-0.001804542	0.01994661	0.8459873	0.7390631	1	0.01527976	118.4381	0.01947348	-0.01171684
35	428.9617	424.6733	4.288422	19.06165	0.008958992	-0.04602753	0.01312261	0.9429451	0.8259716	1	0.01533397	77.36888	0.01307989	-0.8067237
36	429.7056	426.2329	3.47268	32.00105	0.006736785	-0.02914199	0.01632021	0.8839128	0.7709395	1	0.01482874	102.8899	0.01610028	-0.2510352
37	428.9462	425.7724	3.173748	31.42998	0.006807093	-0.02914199	0.01742885	0.8864926	0.7731693	1	0.01540388	101.8272	0.0172043	-0.2567408
38	427.1235	424.0436	3.07993	26.8678	0.007438818	-0.02914199	0.01770269	0.9072473	0.7915322	1	0.01622881	93.17974	0.01755039	-0.31419
