Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
0	0	598.2968	594.1778	4.118941	17.91972	0.009255473	-0.02955034	0.01399389	0.9481039	0.8314513	1	0.01609472	74.89052	0.08503562	0.0139562	-2.122953
1	1	593.6858	591.568	2.117774	15.05741	0.01013359	-0.009445195	0.01467257	0.9608048	0.8458781	1	0.01724447	68.40094	0.6853791	0.01465003	-17.04192
2	0	597.4127	593.9969	3.415861	16.23562	0.0097454	-0.03520468	0.01339635	0.9556267	0.8398084	1	0.01615876	71.12558	-0.5248703	0.01336997	10.51026
3	1	597.4443	593.3721	4.072124	22.62212	0.008175079	-0.03703368	0.01404139	0.9266977	0.8096892	1	0.01515186	84.78783	-0.1834839	0.01396594	1.81441
4	0	598.2442	593.8524	4.391827	17.82433	0.00928145	-0.03520468	0.01312946	0.948533	0.8319155	1	0.01561156	74.68091	-0.004705827	0.01309468	-0.5972968
5	1	596.9545	592.9938	3.960692	15.90986	0.009848596	-0.00717517	0.01414106	0.9570665	0.841467	1	0.0166895	70.3803	-0.2312946	0.014115	4.98886
6	0	592.4107	587.7607	4.65002	15.25892	0.01006416	0.02902649	0.0116781	0.9599253	0.8448258	1	0.01533168	68.87281	0.08968212	0.01165934	-1.423881
7	1	597.2736	593.1518	4.121717	12.94403	0.01095282	-0.03070137	0.0123852	0.9698349	0.8573164	1	0.01647136	63.28481	-0.3830996	0.01237393	11.29921
8	0	595.9488	592.0295	3.919322	23.91094	0.007932608	-0.04195681	0.01372635	0.9207904	0.8040497	1	0.01475709	87.37948	0.2719788	0.01364023	-3.691375
9	1	595.4839	590.7658	4.718086	15.69598	0.009918008	-0.007721215	0.01147906	0.9580086	0.8425639	1	0.0150897	69.88774	-0.1903268	0.01145882	4.158319
10	0	597.5097	593.2416	4.268068	19.27441	0.008906519	-0.05260432	0.0134612	0.9419801	0.8249658	1	0.01548499	77.8247	-0.1133371	0.01341589	0.9334193
11	1	597.0522	593.6603	3.391928	26.36193	0.007517854	-0.02339686	0.01572647	0.9095612	0.7936357	1	0.01537721	92.20013	-0.3296708	0.01559784	3.056862
12	0	597.6167	593.5035	4.11324	15.58122	0.009955814	-0.0118329	0.01364194	0.958513	0.8431551	1	0.0164813	69.62235	0.1659392	0.01361846	-4.119071
13	1	591.9605	588.9749	2.985643	38.85964	0.006005204	-0.09377508	0.01777072	0.853329	0.7451276	1	0.01460937	115.4244	0.1838889	0.01738843	-1.709219
14	0	597.4494	593.9487	3.500712	23.76776	0.007958642	-0.01752789	0.01521469	0.9214468	0.8046703	1	0.01556202	87.09365	0.2829146	0.0151208	-3.541788
15	1	597.2287	593.3185	3.910211	23.44404	0.008018308	-0.01082143	0.01425353	0.9229308	0.8060788	1	0.01511881	86.44556	-0.2571082	0.01416887	2.938551
16	0	597.4089	593.6264	3.78255	22.6109	0.008177274	-0.02052628	0.01415003	0.9267491	0.8097388	1	0.01521241	84.76507	0.2829146	0.0140741	-3.859574
17	1	595.9199	592.8808	3.039139	28.34249	0.007219572	-0.04629252	0.01580014	0.9005138	0.7854819	1	0.01510432	96.00945	-0.4545911	0.01564376	3.64948
18	0	596.2771	592.4989	3.778223	19.11554	0.008945623	0.005217689	0.01531014	0.9427008	0.8257164	1	0.01655045	77.48451	0.03317295	0.01525987	-0.4547091
19	1	595.8513	592.3054	3.545858	23.72725	0.007966047	-0.06566805	0.01623861	0.9216326	0.8048462	1	0.01608462	87.01269	-0.04457443	0.01613888	-0.3137375
20	0	597.8476	593.8571	3.990509	16.72357	0.009596242	-0.0376433	0.01391013	0.9534598	0.8373506	1	0.01633921	72.23111	0.2022392	0.01388	-4.952065
21	1	598.104	593.8737	4.230382	17.19544	0.009457789	-0.009830681	0.01368903	0.9513538	0.8350027	1	0.01609149	73.2885	-0.07332376	0.01365663	1.231878
22	0	597.7633	593.5804	4.182878	14.88117	0.01019541	-0.03984228	0.01269683	0.9615718	0.8468036	1	0.01609034	67.98618	-0.3224824	0.01267808	7.032536
23	1	592.5711	593.1468	-0.5756434	28.9108	0.007139189	-0.02471047	0.01715956	0.8979244	0.7831809	1	0.01565282	97.09046	-1.065176	0.01698077	9.12791
24	0	597.9612	593.7525	4.208783	20.61372	0.008593967	-0.03984228	0.01383709	0.935884	0.8187355	1	0.01542177	80.65509	-0.01696121	0.01378021	-0.373831
25	1	597.0647	593.6624	3.402247	21.64065	0.008372995	-0.03256146	0.01560829	0.9311915	0.8140683	1	0.01616713	82.78367	0.277795	0.01553439	-4.232641
26	0	596.0722	593.3439	2.728328	20.40381	0.008641037	-0.02224583	0.01331923	0.9368415	0.8197009	1	0.01517182	80.21574	0.6393175	0.0132661	-9.83533
27	1	597.8988	593.7284	4.170408	19.93549	0.008748552	-0.00411205	0.01390572	0.9389752	0.8218693	1	0.01559839	79.22993	-0.08050756	0.01385394	1.171368
28	0	596.8984	592.9053	3.993135	25.08487	0.007726992	-0.02554027	0.0143801	0.9154094	0.7990139	1	0.01490737	89.70466	-0.1818396	0.0142772	1.665876
29	1	598.2252	593.8756	4.349535	15.40566	0.01001443	-0.02811275	0.01281392	0.9592831	0.8440633	1	0.01602024	69.21484	-0.2122978	0.01279268	4.311258
30	0	597.0529	593.4479	3.60504	26.76381	0.007454899	-0.005806583	0.01614827	0.9077228	0.7919634	1	0.01551668	92.97875	-0.02183636	0.01601076	0.1518769
31	1	595.1915	592.3574	2.834138	19.43656	0.008867073	0.0201608	0.01420907	0.9412439	0.8242023	1	0.01587406	78.17091	-0.6066591	0.01416002	10.0615
32	0	596.6706	593.4139	3.256699	26.77399	0.007453321	-0.00396283	0.01596995	0.9076762	0.7919212	1	0.01542914	92.99844	-0.3557412	0.01583383	3.454528
33	1	597.3849	593.3274	4.057486	16.92238	0.009537236	-0.04649505	0.01428744	0.9525736	0.836358	1	0.01650834	72.678	0.04413567	0.0142553	-1.866842
34	0	595.7062	591.6097	4.096464	12.70953	0.01105567	-0.05295937	0.01318349	0.9708105	0.8586356	1	0.01707351	62.69608	-0.2946508	0.01317226	7.985416
35	1	595.6992	593.589	2.110179	20.86874	0.008537674	-0.04797848	0.01509684	0.9347198	0.817568	1	0.01605565	81.18689	-0.7210009	0.01503251	9.588754
36	0	596.2021	592.6557	3.546457	14.94974	0.01017124	-0.01609436	0.01191752	0.9612737	0.8464429	1	0.01557022	68.14778	-0.5909851	0.01189965	14.25397
37	1	597.4656	592.8865	4.57908	12.43578	0.01117928	-0.03154197	0.0123385	0.9719413	0.8601896	1	0.01660937	62.00285	-0.09434687	0.01232878	2.143993
38	0	598.1103	594.1861	3.924218	18.5886	0.009078679	-0.01875136	0.01406344	0.9450867	0.8282246	1	0.01597983	76.3489	0.2194474	0.01402103	-4.118276
39	1	595.9516	591.1253	4.826287	10.27696	0.01231632	-0.02576787	0.01138429	0.9804916	0.8730452	1	0.0167459	56.27877	-0.09217287	0.01137996	3.311746
40	0	598.2873	594.0088	4.278587	19.37541	0.008881895	-0.02591365	0.01356759	0.9415216	0.82449	1	0.01552456	78.04046	-0.05668998	0.01352119	0.4695954
41	1	595.7436	591.2637	4.479846	10.55541	0.01215075	-0.02576787	0.01127674	0.9794313	0.8713208	1	0.0165542	57.04563	0.2995918	0.01127197	-15.51863
42	0	593.8058	590.68	3.125879	25.33615	0.007684699	-0.07941341	0.01726939	0.9142581	0.7979477	1	0.01629172	90.19835	-0.212257	0.01714243	1.337086
43	1	592.4152	589.39	3.025193	12.17388	0.01130131	-0.03650612	0.01049575	0.9730147	0.8616911	1	0.01540232	61.33336	0.7206056	0.0104881	-27.33583
44	0	596.4104	592.5017	3.908743	24.8009	0.007775494	0.01280451	0.01467428	0.9167108	0.8002236	1	0.01510627	89.1451	0.09666891	0.01457248	-0.9102372
45	1	597.9024	593.7538	4.148656	15.64653	0.00993425	-0.01470731	0.01339495	0.9582261	0.8428184	1	0.01631372	69.77348	-0.2420487	0.01337157	5.200135
46	0	594.8005	591.1713	3.629149	26.78049	0.007452313	-0.04825643	0.01422197	0.9076465	0.7918942	1	0.0145593	93.01101	-0.3931607	0.01410067	3.341449
47	1	597.9187	593.5293	4.389418	16.42202	0.009687673	-0.04495687	0.01287179	0.9548003	0.8388658	1	0.01579225	71.5494	-0.1599332	0.01284549	2.383807
48	0	596.9927	593.1734	3.81929	23.90553	0.007933588	-0.01950698	0.01420382	0.9208152	0.8040731	1	0.01501248	87.36869	0.2610581	0.01411476	-3.282111
49	1	596.7997	592.9208	3.878952	17.3023	0.009427183	-0.05325901	0.0145173	0.9508756	0.8344748	1	0.01654432	73.52644	0.1610405	0.01448227	-4.20134
50	0	597.437	593.4062	4.030839	21.1236	0.008482373	-0.009264409	0.013692	0.9335556	0.8164069	1	0.01524078	81.71618	-0.2696374	0.01363155	3.649025
51	1	595.6044	593.4653	2.139097	21.68439	0.00836391	-0.0241042	0.01374046	0.9309914	0.8138715	1	0.01516074	82.87358	-0.7860749	0.01367503	10.2556
52	0	593.7124	590.527	3.185411	14.53217	0.01032101	0.01448697	0.01405788	0.963084	0.8486505	1	0.01703476	67.15885	-0.528394	0.01403872	14.17745
53	1	597.052	593.0351	4.016916	20.36645	0.008649487	-0.06258126	0.01436869	0.9370118	0.8198731	1	0.0157659	80.13737	0.05528034	0.01431169	-1.81589
54	0	596.3953	591.6444	4.750981	13.64679	0.01066013	-0.02229621	0.01128309	0.9668764	0.8534263	1	0.01550994	65.0224	0.1540633	0.01127071	-5.170226
55	1	598.024	593.935	4.088993	17.69872	0.009315958	-0.04197907	0.01393236	0.9490976	0.8325284	1	0.01611169	74.40428	0.1272473	0.01389626	-3.19728
56	0	595.7611	593.1188	2.642298	22.34206	0.008230317	-0.05219298	0.01415595	0.9279807	0.810931	1	0.01526486	84.21877	-0.6630473	0.01408253	7.818763
