Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
0	593.6858	591.568	2.117774	15.05741	0.01013359	-0.009445195	0.01467257	0.9608048	0.8458781	1	0.01724447	68.40094	0.6853791	0.01465003	-17.04192
1	597.4443	593.3721	4.072124	22.62212	0.008175079	-0.03703368	0.01404139	0.9266977	0.8096892	1	0.01515186	84.78783	-0.1834839	0.01396594	1.81441
2	596.9545	592.9938	3.960692	15.90986	0.009848596	-0.00717517	0.01414106	0.9570665	0.841467	1	0.0166895	70.3803	-0.2312946	0.014115	4.98886
3	597.2736	593.1518	4.121717	12.94403	0.01095282	-0.03070137	0.0123852	0.9698349	0.8573164	1	0.01647136	63.28481	-0.3830996	0.01237393	11.29921
4	595.4839	590.7658	4.718086	15.69598	0.009918008	-0.007721215	0.01147906	0.9580086	0.8425639	1	0.0150897	69.88774	-0.1903268	0.01145882	4.158319
5	597.0522	593.6603	3.391928	26.36193	0.007517854	-0.02339686	0.01572647	0.9095612	0.7936357	1	0.01537721	92.20013	-0.3296708	0.01559784	3.056862
6	591.9605	588.9749	2.985643	38.85964	0.006005204	-0.09377508	0.01777072	0.853329	0.7451276	1	0.01460937	115.4244	0.1838889	0.01738843	-1.709219
7	597.2287	593.3185	3.910211	23.44404	0.008018308	-0.01082143	0.01425353	0.9229308	0.8060788	1	0.01511881	86.44556	-0.2571082	0.01416887	2.938551
8	595.9199	592.8808	3.039139	28.34249	0.007219572	-0.04629252	0.01580014	0.9005138	0.7854819	1	0.01510432	96.00945	-0.4545911	0.01564376	3.64948
9	595.8513	592.3054	3.545858	23.72725	0.007966047	-0.06566805	0.01623861	0.9216326	0.8048462	1	0.01608462	87.01269	-0.04457443	0.01613888	-0.3137375
10	598.104	593.8737	4.230382	17.19544	0.009457789	-0.009830681	0.01368903	0.9513538	0.8350027	1	0.01609149	73.2885	-0.07332376	0.01365663	1.231878
11	592.5711	593.1468	-0.5756434	28.9108	0.007139189	-0.02471047	0.01715956	0.8979244	0.7831809	1	0.01565282	97.09046	-1.065176	0.01698077	9.12791
12	597.0647	593.6624	3.402247	21.64065	0.008372995	-0.03256146	0.01560829	0.9311915	0.8140683	1	0.01616713	82.78367	0.277795	0.01553439	-4.232641
13	597.8988	593.7284	4.170408	19.93549	0.008748552	-0.00411205	0.01390572	0.9389752	0.8218693	1	0.01559839	79.22993	-0.08050756	0.01385394	1.171368
14	598.2252	593.8756	4.349535	15.40566	0.01001443	-0.02811275	0.01281392	0.9592831	0.8440633	1	0.01602024	69.21484	-0.2122978	0.01279268	4.311258
15	595.1915	592.3574	2.834138	19.43656	0.008867073	0.0201608	0.01420907	0.9412439	0.8242023	1	0.01587406	78.17091	-0.6066591	0.01416002	10.0615
16	597.3849	593.3274	4.057486	16.92238	0.009537236	-0.04649505	0.01428744	0.9525736	0.836358	1	0.01650834	72.678	0.04413567	0.0142553	-1.866842
17	595.6992	593.589	2.110179	20.86874	0.008537674	-0.04797848	0.01509684	0.9347198	0.817568	1	0.01605565	81.18689	-0.7210009	0.01503251	9.588754
